type,secdivid
surface,0420N0250W0SN04APTNESW
surface,0420N0250W0SN04APTS½SE(SEE)
surface,0180N0070E0SN28
surface,0180N0070E0SN32AW½NWSW
surface,1120N0480W0SN13AN28SENE
surface,0170N002ESN08ASESW
surface,0420N0250W0SN04APTNWSE
surface,0180N0070E0SN21
surface,0180N0070E0SN17
surface,0170N002ESN08ASWSW
surface,0080S007ESN20ASESE
surface,0180N0070E0SN29
surface,0180N0070E0SN22
surface,1120N0480W0SN13L4
surface,0180N0070E0SN32APTSWNW
surface,0180N0070E0SN27
surface,0170N0020E0SN06ASEN
surface,0180N0070E0SN16
surface,0010S0190E0SN16
surface,0180N0070E0SN32AW½SWSW
surface,0180N0070E0SN20
surface,0170N0020E0SN11
surface,1260N0780W0SN21ANWSE
surface,0080S007ESN20ASWSE
